Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
Test 1,1,5,1,1,5,3,15,3,5,80.0,40.0,70.0
Test 1,2,1,4,5,1,0,1,1,8,100.0,87.5,88.88888888888889
Test 1,3,4,1,1,5,2,12,1,3,83.33333333333334,66.66666666666666,80.0
Test 1,4,4,5,1,1,0,4,1,5,100.0,80.0,88.88888888888889
Test 1,5,5,2,1,5,5,16,1,2,68.75,50.0,66.66666666666666
Test 2,1,5,5,1,1,1,10,0,0,90.0,0,90.0
Test 2,2,5,1,2,5,0,2,0,5,100.0,100.0,100.0
Test 2,3,5,5,1,1,1,7,0,3,85.71428571428571,100.0,90.0
Test 2,4,5,2,1,5,0,4,1,5,100.0,80.0,88.88888888888889
Test 2,5,1,1,5,4,1,3,0,6,66.66666666666666,100.0,88.88888888888889
BLOCK 1,1,5,1,1,4,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 1,2,5,5,1,2,0,7,0,0,100.0,0,100.0
BLOCK 1,3,5,5,1,2,1,9,0,0,88.88888888888889,0,88.88888888888889
BLOCK 1,4,5,4,1,1,3,13,0,0,76.92307692307693,0,76.92307692307693
BLOCK 1,5,5,1,1,5,1,7,1,5,85.71428571428571,80.0,83.33333333333334
BLOCK 1,6,2,5,5,1,4,11,0,4,63.63636363636363,100.0,73.33333333333333
BLOCK 1,7,1,1,5,5,0,0,2,12,0,83.33333333333334,83.33333333333334
BLOCK 1,8,1,1,5,5,0,2,4,14,100.0,71.42857142857143,75.0
BLOCK 1,9,5,1,2,5,1,7,5,12,85.71428571428571,58.333333333333336,68.42105263157895
BLOCK 1,10,5,4,1,1,0,7,0,0,100.0,0,100.0
BLOCK 1,11,2,1,5,5,0,2,4,13,100.0,69.23076923076923,73.33333333333333
BLOCK 1,12,5,2,1,5,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 1,13,1,4,5,1,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 2,1,1,4,5,1,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 2,2,5,2,1,5,1,8,1,3,87.5,66.66666666666666,81.81818181818183
BLOCK 2,3,5,1,2,5,1,6,3,9,83.33333333333334,66.66666666666666,73.33333333333333
BLOCK 2,4,1,2,5,5,1,5,3,10,80.0,70.0,73.33333333333333
BLOCK 2,5,5,1,1,4,0,0,4,15,0,73.33333333333333,73.33333333333333
BLOCK 2,6,1,1,4,5,3,9,2,8,66.66666666666666,75.0,70.58823529411765
BLOCK 2,7,1,1,5,4,0,3,3,10,100.0,70.0,76.92307692307693
BLOCK 2,8,1,5,5,1,2,10,0,2,80.0,100.0,83.33333333333334
BLOCK 2,9,2,5,5,1,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 2,10,1,4,5,1,2,10,1,3,80.0,66.66666666666666,76.92307692307693
BLOCK 2,11,5,4,1,1,0,3,0,4,100.0,100.0,100.0
BLOCK 2,12,4,5,1,1,2,8,0,3,75.0,100.0,81.81818181818183
BLOCK 2,13,1,1,5,4,0,3,2,8,100.0,75.0,81.81818181818183
BLOCK 3,1,1,2,5,5,0,5,2,6,100.0,66.66666666666666,81.81818181818183
BLOCK 3,2,2,1,5,5,1,8,3,7,87.5,57.14285714285714,73.33333333333333
BLOCK 3,3,5,5,2,1,2,8,1,5,75.0,80.0,76.92307692307693
BLOCK 3,4,5,1,1,4,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 3,5,5,4,1,1,0,6,1,5,100.0,80.0,90.9090909090909
BLOCK 3,6,1,2,5,5,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 3,7,5,5,2,1,5,14,3,11,64.28571428571429,72.72727272727273,68.0
BLOCK 3,8,5,2,1,5,2,8,2,7,75.0,71.42857142857143,73.33333333333333
BLOCK 3,9,5,2,1,5,2,10,9,19,80.0,52.63157894736842,62.06896551724138
BLOCK 3,10,1,1,4,5,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 3,11,5,1,2,5,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 3,12,4,1,1,5,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 3,13,1,5,4,1,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 4,1,2,5,5,1,4,10,2,9,60.0,77.77777777777779,68.42105263157895
BLOCK 4,2,4,5,1,1,2,9,0,2,77.77777777777779,100.0,81.81818181818183
BLOCK 4,3,4,1,1,5,0,3,4,12,100.0,66.66666666666666,73.33333333333333
BLOCK 4,4,1,2,5,5,3,8,0,5,62.5,100.0,76.92307692307693
BLOCK 4,5,2,5,5,1,0,2,0,5,100.0,100.0,100.0
BLOCK 4,6,1,4,5,1,3,14,0,1,78.57142857142857,100.0,80.0
BLOCK 4,7,4,5,1,1,3,8,3,11,62.5,72.72727272727273,68.42105263157895
BLOCK 4,8,2,1,5,5,2,7,3,10,71.42857142857143,70.0,70.58823529411765
BLOCK 4,9,5,1,1,5,1,8,1,4,87.5,75.0,83.33333333333334
BLOCK 4,10,1,4,5,1,0,2,1,7,100.0,85.71428571428571,88.88888888888889
BLOCK 4,11,1,1,5,4,1,4,1,7,75.0,85.71428571428571,81.81818181818183
BLOCK 4,12,1,5,5,2,9,23,1,6,60.86956521739131,83.33333333333334,65.51724137931035
BLOCK 4,13,1,1,5,4,4,12,3,9,66.66666666666666,66.66666666666666,66.66666666666666
BLOCK 5,1,1,5,4,1,1,8,0,1,87.5,100.0,88.88888888888889
BLOCK 5,2,4,5,1,1,2,10,8,15,80.0,46.666666666666664,60.0
BLOCK 5,3,1,1,5,4,0,4,0,3,100.0,100.0,100.0
BLOCK 5,4,5,2,1,5,0,0,0,7,0,100.0,100.0
