Scenario,Block,Episode,Trial,Target direction,Subject_key_pressed or agent,Movement direction,Error/NonError,Current x,Current y
Shared_Responsibility,Test 1,1,0,South,Agent,south,NonError,2,1
Shared_Responsibility,Test 1,1,1,South,Agent,south,NonError,3,1
Shared_Responsibility,Test 1,1,2,South,Agent,south,NonError,4,1
Shared_Responsibility,Test 1,1,3,South,Agent,south,NonError,5,1
Shared_Responsibility,Test 1,1,4,East,Agent,east,NonError,5,2
Shared_Responsibility,Test 1,1,5,East,Agent,west,Error,5,1
Shared_Responsibility,Test 1,1,6,East,Agent,east,NonError,5,2
Shared_Responsibility,Test 1,1,7,East,Agent,east,NonError,5,3
Shared_Responsibility,Test 1,1,8,East,Agent,east,NonError,5,4
Shared_Responsibility,Test 1,1,9,East,Agent,east,NonError,5,5
Shared_Responsibility,Test 1,2,0,South,Agent,south,NonError,2,1
Shared_Responsibility,Test 1,2,1,South,Agent,south,NonError,3,1
Shared_Responsibility,Test 1,2,2,South,Agent,south,NonError,4,1
Shared_Responsibility,Test 1,2,3,South,Agent,west,Error,4,0
Shared_Responsibility,Test 1,2,4,Southeast,Agent,east,NonError,4,1
Shared_Responsibility,Test 1,2,5,South,Agent,south,NonError,5,1
Shared_Responsibility,Test 1,2,6,East,Agent,east,NonError,5,2
Shared_Responsibility,Test 1,2,7,East,Agent,east,NonError,5,3
Shared_Responsibility,Test 1,2,8,East,Agent,east,NonError,5,4
Shared_Responsibility,Test 1,3,0,South,Agent,south,NonError,2,1
Shared_Responsibility,Test 1,3,1,South,Agent,east,Error,2,2
Shared_Responsibility,Test 1,3,2,Southwest,Agent,south,NonError,3,2
Shared_Responsibility,Test 1,3,3,West,Subject Left,west,NonError,3,1
Shared_Responsibility,Test 1,3,4,South,Agent,west,Error,3,0
Shared_Responsibility,Test 1,3,5,Southeast,Agent,east,NonError,3,1
Shared_Responsibility,Test 1,3,6,South,Agent,south,NonError,4,1
Shared_Responsibility,Test 1,3,7,East,Agent,east,NonError,4,2
Shared_Responsibility,Test 1,3,8,South,Agent,east,Error,4,3
Shared_Responsibility,Test 1,3,9,Southwest,Agent,south,NonError,5,3
Shared_Responsibility,Test 1,3,10,West,Subject Left,west,NonError,5,2
Shared_Responsibility,Test 1,3,11,East,Agent,east,NonError,5,3
Shared_Responsibility,Test 1,3,12,East,Agent,east,NonError,5,4
Shared_Responsibility,Test 1,4,0,South,Agent,south,NonError,2,5
Shared_Responsibility,Test 1,4,1,South,Agent,south,NonError,3,5
